asset_id,service,type,provider,source_url,license,license_proof,approved_for_production,editorial_only,attribution_required
auto-sports-car-dawn,auto-insurance,video,Mixkit,https://mixkit.co/free-stock-video/a-red-sports-car-traveling-along-a-curvy-asphalt-road-52427/,Mixkit Stock Video Free License for commercial and personal use,Asset 52427 source page reviewed 2026-07-20,true,false,false
home-luxury-pool,home-insurance,video,Coverr,https://coverr.co/videos/swimming-pool-in-a-backyard-ttkbpdavzh,Coverr commercial-use stock video license,Source page and Coverr license reviewed 2026-07-20; attribution retained in footer,true,false,true
commercial-skyscraper,commercial-insurance,video,Coverr,https://coverr.co/videos/a-skyscraper-in-panama-city-wp5rzmwi20,Coverr commercial-use stock video license,Source page and Coverr license reviewed 2026-07-20; attribution retained in footer,true,false,true
life-palm-sunset,life-insurance,video,Mixkit,https://mixkit.co/free-stock-video/red-ocean-sunset-2164/,Mixkit Stock Video Free License for commercial and personal use,Asset 2164 source page reviewed 2026-07-20,true,false,false
renters-luxury-room,renters-insurance,video,Mixkit,https://mixkit.co/free-stock-video/luxury-hotel-room-panning-shot-4196/,Mixkit Stock Video Free License for commercial and personal use,Asset 4196 source page reviewed 2026-07-20,true,false,false
auto-city-car,auto-insurance,image,Existing YFFI3 project asset,repository://public/assets/yffi3/service-auto-slide-1,Owner-provided existing website asset,Repository history and owner-provided project files,true,false,false
auto-console-details,auto-insurance,image,Existing YFFI3 project asset,repository://public/assets/yffi3/service-auto-slide-2,Owner-provided existing website asset,Repository history and owner-provided project files,true,false,false
auto-florida-arrival,auto-insurance,image,Existing YFFI3 project asset,repository://public/assets/yffi3/service-auto-slide-3,Owner-provided existing website asset,Repository history and owner-provided project files,true,false,false
home-warm-exterior,home-insurance,image,Existing YFFI3 project asset,repository://public/assets/yffi3/service-homeowners-slide-1,Owner-provided existing website asset,Repository history and owner-provided project files,true,false,false
home-roofline,home-insurance,image,Existing YFFI3 project asset,repository://public/assets/yffi3/service-homeowners-slide-2,Owner-provided existing website asset,Repository history and owner-provided project files,true,false,false
home-calm-interior,home-insurance,image,Existing YFFI3 project asset,repository://public/assets/yffi3/service-homeowners-slide-3,Owner-provided existing website asset,Repository history and owner-provided project files,true,false,false
commercial-storefront,commercial-insurance,image,Existing YFFI3 project asset,repository://public/assets/yffi3/service-commercial-slide-1,Owner-provided existing website asset,Repository history and owner-provided project files,true,false,false
commercial-conference-room,commercial-insurance,image,Existing YFFI3 project asset,repository://public/assets/yffi3/service-commercial-slide-2,Owner-provided existing website asset,Repository history and owner-provided project files,true,false,false
commercial-vehicles,commercial-insurance,image,Existing YFFI3 project asset,repository://public/assets/yffi3/service-commercial-slide-3,Owner-provided existing website asset,Repository history and owner-provided project files,true,false,false
life-planning-desk,life-insurance,image,Existing YFFI3 project asset,repository://public/assets/yffi3/service-life-slide-1,Owner-provided existing website asset,Repository history and owner-provided project files,true,false,false
life-keys-planning,life-insurance,image,Existing YFFI3 project asset,repository://public/assets/yffi3/service-life-slide-2,Owner-provided existing website asset,Repository history and owner-provided project files,true,false,false
life-calm-hallway,life-insurance,image,Existing YFFI3 project asset,repository://public/assets/yffi3/service-life-slide-3,Owner-provided existing website asset,Repository history and owner-provided project files,true,false,false
renters-living-room,renters-insurance,image,Existing YFFI3 project asset,repository://public/assets/yffi3/service-renters-slide-1,Owner-provided existing website asset,Repository history and owner-provided project files,true,false,false
renters-keys-property,renters-insurance,image,Existing YFFI3 project asset,repository://public/assets/yffi3/service-renters-slide-2,Owner-provided existing website asset,Repository history and owner-provided project files,true,false,false
renters-entry-corridor,renters-insurance,image,Existing YFFI3 project asset,repository://public/assets/yffi3/service-renters-slide-3,Owner-provided existing website asset,Repository history and owner-provided project files,true,false,false
